Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision,Is Vaccination site
Netcare St Anne's Hospital,30.384357,-29.6017,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,179,,72,,,,8,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-St-Annes-Hospital,ZA-KZN,
NHN Daymed Private Hospital,30.407526,-29.5626,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,52,,20,,,,2,,,,http://www.daymed.co.za/,ZA-KZN,
Pietermaritzburg Eye Hospital,30.389691,-29.612571,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.pmbeyehospital.co.za/,ZA-KZN,
Royal Rehab Hospital,30.384522,-29.602896,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://rh.org.za/,ZA-KZN,
St Mary's Private Hospital,28.795423,-31.551878,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN,
Wembley House Hospital,30.36702,-29.592781,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.netcare.co.za/Our-centres/Medicross-Wembley-House,ZA-KZN,
Life Hilton Private Hospital,30.299325,-29.5395,Private Hospital,KwaZuluNatal,Umgungundlovu District Municipality,uMngeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/pietermaritzburg/life-hilton-private-hospital/,ZA-KZN,
Mediclinic Howick Hospital,30.218672,-29.477,Private Hospital,KwaZuluNatal,Ugu District Municipality,uMngeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,26,,20,,,,2,,,,https://www.mediclinic.co.za/en/howick/home.html,ZA-KZN,
NHN Oatlands Care Med Centre,30.217638,-29.4784,Private Hospital,KwaZuluNatal,Ugu District Municipality,uMngeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.oatlandscarecentre.co.za/,ZA-KZN,
Oatlands Care Centre,30.217612,-29.477035,Private Hospital,KwaZuluNatal,Ugu District Municipality,uMngeni Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN,
Talana Step Down Hospital,28.074803,-26.155076,Private Hospital,KwaZuluNatal,Umzinyathi District Municipality,Endumeni Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN,
Greytown Private Hospital,30.60663,-29.0607,Private Hospital,KwaZuluNatal,Umzinyathi District Municipality,Umvoti Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://www.kznhealth.gov.za/greytownhospital.htm,ZA-KZN,
Essen Med Centre,29.768812,-28.557,Private Hospital,KwaZuluNatal,Uthukela District Municipality,Alfred Duma Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://essenmedical.co.za/,ZA-KZN,
Ladysmith Sub-Acute Hospital,29.7682,-28.557228,Private Hospital,KwaZuluNatal,Uthukela District Municipality,Alfred Duma Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN,
AbaQulusi Private Hospital,30.775736,-27.7717,Private Hospital,KwaZuluNatal,Zululand District Municipality,AbaQulusi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://nhn.co.za/abaqulusi-private-hospital/,ZA-KZN,
Longridge Colliery Mine Hospital,30.60844,-27.4872,Military Hospital,KwaZuluNatal,Zululand District Municipality,eDumbe Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-KZN,
NHN Nongoma Private Hospital,31.648265,-27.9298,Private Hospital,KwaZuluNatal,Zululand District Municipality,Nongoma Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN,
Lebowakgomo Medleb Hospital,29.475437,-24.3026,Private Hospital,Limpopo,Capricorn District Municipality,Lepelle-Nkumpi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP,
Mediclinic Limpopo Hospital,29.46334,-23.9082,Private Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,247,,105,,,,8,,,,https://www.mediclinic.co.za/en/limpopo/home.html,ZA-LP,
Netcare Pholoso Hospital,29.493351,-23.9016,Private Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Pholoso-Hospital,ZA-LP,
St Joseph's Hospital,29.453,-23.893,District Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP,
Life Esidimeni Shiluvana Hospital,30.27413,-24.0428,Private Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP,
Mediclinic Tzaneen Hospital,30.154319,-23.8242,Private Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,129,,35,,,,3,,,,https://www.mediclinic.co.za/en/tzaneen/home.html,ZA-LP,
NHN Quality Care Private Hospital,29.913072,-23.0447,Private Hospital,Limpopo,Vhembe District Municipality,Makhado Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP,
NHN Zoutpansberg Private Hospital,29.897218,-23.0408,Private Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,22,,6,,,,1,,,,https://www.zoutmed.co.za/,ZA-LP,
NHN St Vincent's Hospital,28.28067,-24.8811,Private Hospital,Limpopo,Waterberg District Municipality,Bela-Bela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,83,,24,,,,2,,,,,ZA-LP,
Mediclinic Lephalale Hospital,27.698139,-23.6864,Private Hospital,Limpopo,Waterberg District Municipality,Lephalale Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediclinic.co.za/en/lephalale/home.html,ZA-LP,
Anglo Platinum Mine Hospital,27.20111,-25.533977,Military Hospital,Limpopo,Waterberg District Municipality,Mogalakwena Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP,
Mediclinic Thabazimbi Hospital,27.407217,-24.599,Private Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,21,,5,,,,1,,,,https://www.mediclinic.co.za/en/thabazimbi/home.html,ZA-LP,
Platinum Health Amandelbult Hospital,27.387811,-25.7602,Private Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.platinumhealth.co.za/service_provider/amandelbult-hospital-2/,ZA-LP,
Platinum Health Setaria Mine Hospital,27.405936,-24.7957,Military Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP,
Platinum Health Thabazimbi Med Centre,27.402773,-24.5827,Private Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP,
Platinum Health Union Mine Hospital,27.153089,-25.9405,Military Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP,
Swartklip Mine Hospital,27.15166,-24.9393,Military Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,https://www.platinumhealth.co.za/service_provider/swartklip-hospital/,ZA-LP,
Busamed Lowveld Private Hospital,30.977583,-25.4761,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.busamed.co.za/lowveld/,ZA-MP,
Eureka Mediclinic Barberton Hospital,31.051946,-25.7622,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,30,,5,,,,1,,,,,ZA-MP,
Mediclinic Nelspruit Hospital,30.961882,-25.4935,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,314,,89,,,,9,,,,https://www.mediclinic.co.za/en/nelspruit/home.html,ZA-MP,
NHN Kiaat Private Hospital,30.983566,-25.4035,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.kiaathospital.com/,ZA-MP,
NHN M-Care Nelspruit Hospital,30.952268,-25.4846,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://mcare.co.za/nelspruit/,ZA-MP,
Mediclinic Highveld Hospital,29.23186,-26.4918,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Govan Mbeki Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediclinic.co.za/en/highveld/home.html,ZA-MP,
Mediclinic Secunda Hospital,29.182497,-26.5073,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Govan Mbeki Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,43,,24,,,,3,,,,https://www.mediclinic.co.za/en/secunda/home.html,ZA-MP,
Winkelhaak Mine Hospital,29.126233,-26.5133,Military Hospital,Mpumalanga,Gert Sibande District Municipality,Govan Mbeki Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP,
Life Piet Retief Hospital,30.804255,-27.0202,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Mkhondo Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,45,,17,,,,2,,,,,ZA-MP,
Ermelo Hospiplan Hospital,29.97482,-26.5229,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Msukaligwa Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-MP,
Mediclinic Ermelo Hospital,29.987844,-26.5428,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Msukaligwa Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,40,,11,,,,2,,,,https://www.mediclinic.co.za/en/ermelo/home.html,ZA-MP,
Anglo CoalHighveld Hospital,29.199753,-25.9167,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,,Relevant Private Facility services – visit their website for more details,,134,,34,,,,2,,,,https://www.platinumhealth.co.za/service_provider/anglocoal-highveld/,ZA-MP,
Greenside Hospital,29.178193,-25.9586,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-MP,
Life Cosmos Hospital,29.232742,-25.8841,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,205,,60,,,,7,,,,https://www.lifehealthcare.co.za/hospitals/mpumalanga/witbank/life-cosmos-hospital/,ZA-MP,
NHN eMalahleni Day Hospital,29.215849,-25.8748,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-MP,
NHN eMalahleni Private Hospital,29.214917,-25.8754,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,100,,22,,,,3,,,,https://emalahlenihospital.co.za/,ZA-MP,
NHN Highveld Eye Hospital,29.240453,-25.8721,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://highveldeyehospital.webs.com/,ZA-MP,
Arnot Colliery Mine Hospital,29.774221,-25.929932,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP,
Douglas Colliery Mine Hospital,29.8034,-25.9467,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,35,,0,0,,0,0,,,,,ZA-MP,
Koornfontein Mine Hospital,29.187401,-25.8296,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP,
Life Midmed Hospital,29.457539,-25.7628,Private Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,159,,34,,,,4,,,,https://www.lifehealthcare.co.za/hospitals/mpumalanga/middelburg/life-midmed-hospital/,ZA-MP,
Middelburg Mine Hospital,29.2805.5,-25.46211,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP,
Hartswater Hospital,24.81333,-27.7576,District Hospital,Northern Cape,Frances Baard District Municipality,Phokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,50,,0,0,,4,1,,,,,ZA-NC,
Mediclinic Kimberley Hospital,24.771611,-28.7449,Private Hospital,Northern Cape,Frances Baard District Municipality,Sol Plaatje Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,252,,91,,,,8,,,,https://www.mediclinic.co.za/en/kimberley/home.html,ZA-NC,
NHN Lenmed Royal Hospital and Heart Centre,24.762109,-28.7564,Private Hospital,Northern Cape,Frances Baard District Municipality,Sol Plaatje Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lenmed.co.za/hospital/royal-private-hospital-and-heart-centre-lenmed/,ZA-NC,
West End Specialised Psychiatric Hospital,24.72386,-28.7376,Specialised Hospital,Northern Cape,Frances Baard District Municipality,Sol Plaatje Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,178,,,,,,,,,,,ZA-NC,
West End Spec TB Hospital,24.77374,-28.8067,Specialised Hospital,Northern Cape,Frances Baard District Municipality,Sol Plaatje Local Municipality,,TB and related services,,,,,,,,,,,,,ZA-NC,
NHN Lenmed Kathu Hospital,23.054137,-27.6945,Private Hospital,Northern Cape,John Taolo Gaetsewe District Municipality,Gamagara Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,25,,8,,,,1,,,,https://www.lenmed.co.za/hospital/kathu-private-hospital-lenmed/,ZA-NC,
Tshwaragano Hospital,23.34494,-27.3067,District Hospital,Northern Cape,John Taolo Gaetsewe District Municipality,Ga-Segonyana Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,214,,40,40,,5,1,,,,,ZA-NC,
Aggeneys (Black Mountain) Private Hospital,18.842602,-29.2413,Private Hospital,Northern Cape,Namakwa District Municipality,Khâi-Ma Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-NC,
Kleinzee Private Hospital,17.065201,-29.67675,Private Hospital,Northern Cape,Namakwa District Municipality,Nama Khoi Local Municipality,,Relevant Private Facility services – visit their website for more details,,34,,10,,,,1,,,,,ZA-NC,
Prieska Hospital,22.73732,-29.6681,District Hospital,Northern Cape,Pixley ka Seme District Municipality,Siyathemba Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,30,,2,2,,2,1,,,,,ZA-NC,
OraniaMed 24,24.409733,-29.812101,Private Hospital,Northern Cape,Pixley ka Seme District Municipality,Thembelihle Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-NC,
Manne Dipico Hospital,25.08956,-30.73,District Hospital,Northern Cape,Pixley ka Seme District Municipality,Umsobomvu Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,32,,0,0,,0,0,,,,,ZA-NC,
Harry Surtie Hospital,21.26603,-28.446,Regional Hospital,Northern Cape,Zwelentlanga Fatman Mgcawu District Municipality,Dawid Kruiper Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,186,,45,46,,3,2,,,,,ZA-NC,
Mediclinic Upington Hospital,21.266934,-28.4399,Private Hospital,Northern Cape,Zwelentlanga Fatman Mgcawu District Municipality,Dawid Kruiper Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,50,,17,,,,2,,,,https://www.mediclinic.co.za/en/upington/home.html,ZA-NC,
Upington TB Hospital,21.26603,-28.446,Specialised Hospital,Northern Cape,Zwelentlanga Fatman Mgcawu District Municipality,Dawid Kruiper Local Municipality,,TB and related services,,186,,,,,,,,,,,ZA-NC,
Kakamas Hospital,20.62249,-28.7805,District Hospital,Northern Cape,Zwelentlanga Fatman Mgcawu District Municipality,Kai !Garib Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,30,,4,4,,2,0,,,,,ZA-NC,
Keimoes Hospital,20.954576,-28.706323,District Hospital,Northern Cape,Zwelentlanga Fatman Mgcawu District Municipality,Kai !Garib Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,30,,2,2,,0,0,,,,,ZA-NC,
Lime Acres Hospital,23.57222,-28.3694,Private Hospital,Northern Cape,Zwelentlanga Fatman Mgcawu District Municipality,Kgatelopele Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-NC,
Postmasburg Hospital,23.06008,-28.3276,District Hospital,Northern Cape,Zwelentlanga Fatman Mgcawu District Municipality,Tsantsabane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,42,,20,20,,0,0,,,,,ZA-NC,
Mediclinic Brits Hospital,27.782926,-25.6328,Private Hospital,North West,Bojanala Platinum District Municipality,Madibeng Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,80,,21,,,,3,,,,https://www.mediclinic.co.za/en/brits/home.html,ZA-NW,
Andrew Saffey Mine Hospital,27.23578,-25.6639,Military Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,56,,23,,,,0,,,,,ZA-NW,
Impala Mine Hospital,27.20101,-25.5335,Military Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-NW,
Job Shimankana Tabane Hospital,27.244388,-25.6774,Tertiary Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,YES,"Accident and emergency services including family medicine, Obstetrics and Gynaecology, reproductive health and Choice on Termination of Pregnancy (CTOP) services, Paediatrics, Neonatology, Internal Medicine, HIV and AIDS wellness clinic, General Surgery, Orthopaedic, Mental Health, Anaesthesia, adult ICU, Neonatal ICU, Radiology serviced including CT scan, Ophthalmology, Renal Services and Complex Orthopaedic like Joint replacements.Allied health services provided are speech therapy and audiology, occupational therapy, physiotherapy, radiography, social worker services, psychology services, dietetics services and pharmaceutical services.",,390,,35,40,,12,5,,,,,ZA-NW,YES
Life La Femme Clinic Hospital,27.238413,-25.6721,Private Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,40,,14,,,,2,,,,https://www.lifehealthcare.co.za/hospitals/north-west/rustenburg/life-la-femme-clinic/,ZA-NW,
Life Peglerae Hospital,27.242302,-25.6737,Private Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,159,,103,,,,6,,,,https://www.lifehealthcare.co.za/hospitals/north-west/rustenburg/life-peglerae-hospital/,ZA-NW,
Netcare Ferncrest Hospital,27.214149,-25.6478,Private Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,163,,60,,,,5,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Ferncrest-Hospital,ZA-NW,
NHN Medicare Rustenburg Hospital,27.226595,-25.6852,Private Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://www.rustenburgmedicare.co.za/contact.html,ZA-NW,
Rustenburg Platinum Mine Hospital,27.242922,-25.671632,Military Hospital,North West,Bojanala Platinum District Municipality,Rustenburg Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-NW,
Duff Scott Memorial Hospital,26.80489,-26.8622,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-NW,
Klerksdorp-Tshepong Hospital,26.662715,-26.8789,Tertiary Hospital,North West,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,YES,Services for this public hospital still need to be clerified,,803,,169,169,,2,13,,,,https://www.klerksdorptsheponghospital.org/about-us/,ZA-NW,YES
Life Anncron Clinic Hospital,26.668083,-26.8411,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,150,,56,,,,6,,,,https://www.lifehealthcare.co.za/hospitals/north-west/klerksdorp/life-anncron-hospital/,ZA-NW,
NHN Parkmed Neuro Hospital,26.660808,-26.8726,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://parkmed.co.za/,ZA-NW,
NHN Sunningdale Hospital,26.669377,-26.8468,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,62,,18,,,,2,,,,,ZA-NW,
NHN Wilmed Park Hospital,26.678519,-26.8309,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,144,,72,,,,6,,,,https://www.wilmedpark.co.za/,ZA-NW,
West Vaal Hospital,26.67205,-26.9623,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,City of Matlosana Local Municipality,,Relevant Private Facility services – visit their website for more details,,275,,94,,,,3,,,,,ZA-NW,
Mediclinic Potchefstroom Hospital,27.08141,-26.689,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,JB Marks Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,127,,41,,,,4,,,,https://www.mediclinic.co.za/en/potchefstroom/home.html,ZA-NW,
NHN Medi-Care Potch Hospital,27.083957,-26.7273,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,JB Marks Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-NW,
NHN Vryburg Private Hospital,24.721533,-26.9468,Private Hospital,North West,Dr Ruth Segomotsi Mompati District Municipality,Naledi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,44,,8,,,,2,,,,,ZA-NW,
Clinix Victoria Private Hospital,25.64145,-25.86,Private Hospital,North West,Ngaka Modiri Molema District Municipality,Mahikeng Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,93,,45,,,,3,,,,https://www.clinix.co.za/victoria-itokolle,ZA-NW,
Brewelskloof TB Hospital,19.45694,-33.6211,Specialised Hospital,Western Cape,Cape Winelands District Municipality,Breede Valley Local Municipality,YES,TB and related services,,368,,,,,,,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_western_cape_south_africa/tb_hospital_brewelskloof_hospital_worcester_western_cape_south_africa,ZA-WC,
Mediclinic Worcester Hospital,19.450696,-33.6442,Private Hospital,Western Cape,Cape Winelands District Municipality,Breede Valley Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,187,,65,,,,5,,,,https://www.mediclinic.co.za/en/worcester/home.html,ZA-WC,
Pines Clinic Hospital,19.44804,-33.6403,Private Hospital,Western Cape,Cape Winelands District Municipality,Breede Valley Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifepathgroup.co.za/pines-clinic/,ZA-WC,
Regina Centre,19.445,-33.643,Specialised Hospital,Western Cape,Cape Winelands District Municipality,Breede Valley Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-WC,
Worcester Hospice,19.455455,-33.611946,Specialised Hospital,Western Cape,Cape Winelands District Municipality,Breede Valley Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-WC,
Worcester Hospital,19.458072,-33.6444,Regional Hospital,Western Cape,Cape Winelands District Municipality,Breede Valley Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,269,,48,48,,6,6,,,,,ZA-WC,
Drakenstein Hospital,18.96904,-33.7188,Private Hospital,Western Cape,Cape Winelands District Municipality,Drakenstein Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-WC,
Mediclinic Paarl Hospital,18.969075,-33.7187,Private Hospital,Western Cape,Cape Winelands District Municipality,Drakenstein Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,143,,37,,,,5,,,,https://www.mediclinic.co.za/en/paarl/home.html,ZA-WC,
Drakenstein Palliative Hospice,18.96864,-33.729271,Specialised Hospital,Western Cape,Cape Winelands District Municipality,Drakenstein Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,https://www.drakensteinhospice.org.za/,ZA-WC,
Paarl Hospital,18.97028,-33.7263,Regional Hospital,Western Cape,Cape Winelands District Municipality,Drakenstein Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,301,,72,72,,5,5,,,,,ZA-WC,
Groenleegte care cure Paarl,18.964269,-33.709891,Specialised Hospital,Western Cape,Cape Winelands District Municipality,Drakenstein Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,21,,11,,,,3,,,,https://www.medpages.info/sf/index.php?page=organisation&orgcode=186384,ZA-WC,
Montagu Hospital,20.12333,-33.7977,District Hospital,Western Cape,Cape Winelands District Municipality,Langeberg Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,40,,10,10,,3,1,,,,,ZA-WC,
Mooimed hospital,27.096472,-26.700242,Private Hospital,North West,Dr Kenneth Kaunda District Municipality,JB Marks Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,35,,13,,,,2,,,,https://www.mooimed.com/,ZA-NW,
Robertson Hospital,19.89133,-33.8016,District Hospital,Western Cape,Cape Winelands District Municipality,Langeberg Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,46,,12,12,,4,1,,,,,ZA-WC,
Mediclinic Stellenbosch Hospital,18.850752,-33.9443,Private Hospital,Western Cape,Cape Winelands District Municipality,Stellenbosch Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,114,,47,,,,4,,,,https://www.mediclinic.co.za/en/stellenbosch/home.html,ZA-WC,
Stellenbosch Hospital,18.87028,-33.9305,District Hospital,Western Cape,Cape Winelands District Municipality,Stellenbosch Local Municipality,YES,Services for this public hospital could not be found at the time of recording this data.,,85,,14,14,,8,2,,,,,ZA-WC,
